Sample_Index,Log_Probability,Anomaly_Score,Ground_Truth,Predicted,Ground_Truth_Label,Predicted_Label,Polymer_Type
27,-66.764305,66.764305,0,1,NORMAL,ANOMALY,Polystyrene
28,-46.594246,46.594246,0,1,NORMAL,ANOMALY,Polystyrene
29,-41.89535,41.89535,0,1,NORMAL,ANOMALY,NH2SO4
30,-58.856354,58.856354,0,1,NORMAL,ANOMALY,Sucrose
31,-19.385874,19.385874,0,0,NORMAL,NORMAL,Polyethylene
32,-24.210146,24.210146,0,0,NORMAL,NORMAL,NH2SO4
33,-17.028275,17.028275,0,0,NORMAL,NORMAL,Polypropylene
34,-14.3968525,14.3968525,0,0,NORMAL,NORMAL,Polyethylene
35,-36.518887,36.518887,0,0,NORMAL,NORMAL,Polyamide
36,-35.72074,35.72074,0,0,NORMAL,NORMAL,Polyamide
37,-47.234917,47.234917,0,1,NORMAL,ANOMALY,Polypropylene
38,-14.723366,14.723366,0,0,NORMAL,NORMAL,Polyethylene
39,-23.398045,23.398045,0,0,NORMAL,NORMAL,Sucrose
40,-21.670015,21.670015,0,0,NORMAL,NORMAL,Polyethylene
41,-15.813049,15.813049,0,0,NORMAL,NORMAL,Polyethylene
42,-26.544846,26.544846,0,0,NORMAL,NORMAL,Sucrose
43,-26.591452,26.591452,0,0,NORMAL,NORMAL,Polyethylene
44,-16.777115,16.777115,0,0,NORMAL,NORMAL,Sucrose
45,-14.270921,14.270921,0,0,NORMAL,NORMAL,Polyethylene
46,-28.857645,28.857645,0,0,NORMAL,NORMAL,Polyethylene Terephthalate
47,-13.0053005,13.0053005,0,0,NORMAL,NORMAL,Polyethylene
48,-30.776724,30.776724,0,0,NORMAL,NORMAL,Sucrose
49,-11.381313,11.381313,0,0,NORMAL,NORMAL,Polyethylene
50,-22.809967,22.809967,0,0,NORMAL,NORMAL,Polypropylene
51,-22.80184,22.80184,0,0,NORMAL,NORMAL,Polystyrene
52,-40.469326,40.469326,0,1,NORMAL,ANOMALY,Polystyrene
53,-49.1895,49.1895,0,1,NORMAL,ANOMALY,Polyvinyl Chloride
54,-26.10764,26.10764,0,0,NORMAL,NORMAL,Polyethylene
55,-33.996456,33.996456,0,0,NORMAL,NORMAL,NH2SO4
56,-26.246431,26.246431,0,0,NORMAL,NORMAL,Sucrose
57,-41.769577,41.769577,0,1,NORMAL,ANOMALY,Polystyrene
58,-41.261482,41.261482,0,1,NORMAL,ANOMALY,Polystyrene
59,-23.115326,23.115326,0,0,NORMAL,NORMAL,Polystyrene
60,-45.848736,45.848736,0,1,NORMAL,ANOMALY,Polystyrene
61,-19.246151,19.246151,0,0,NORMAL,NORMAL,Polystyrene
62,-11.306238,11.306238,0,0,NORMAL,NORMAL,Polyethylene
63,-47.180607,47.180607,0,1,NORMAL,ANOMALY,Polystyrene
64,-31.069845,31.069845,0,0,NORMAL,NORMAL,Polypropylene
65,-44.536304,44.536304,0,1,NORMAL,ANOMALY,Sucrose
66,-38.903656,38.903656,0,0,NORMAL,NORMAL,Polycarbonate
67,-23.082567,23.082567,0,0,NORMAL,NORMAL,Sucrose
68,-54.482597,54.482597,0,1,NORMAL,ANOMALY,Polypropylene
69,-30.802132,30.802132,0,0,NORMAL,NORMAL,Cotton
70,-29.402805,29.402805,0,0,NORMAL,NORMAL,Polyethylene Terephthalate
71,-46.144516,46.144516,0,1,NORMAL,ANOMALY,Polystyrene
72,-44.916573,44.916573,0,1,NORMAL,ANOMALY,Sucrose
73,-27.281603,27.281603,0,0,NORMAL,NORMAL,Polyethylene
74,-43.440094,43.440094,0,1,NORMAL,ANOMALY,Polyethylene Vinyl Acetate
75,-15.547281,15.547281,0,0,NORMAL,NORMAL,Polyethylene
76,-51.56799,51.56799,0,1,NORMAL,ANOMALY,Polypropylene
77,-34.9891,34.9891,0,0,NORMAL,NORMAL,Polyethylene
78,-16.595959,16.595959,0,0,NORMAL,NORMAL,Polypropylene
79,-20.741262,20.741262,0,0,NORMAL,NORMAL,Polypropylene
80,-38.8666,38.8666,0,0,NORMAL,NORMAL,Polypropylene
81,-13.774218,13.774218,0,0,NORMAL,NORMAL,Polyethylene
82,-33.45975,33.45975,0,0,NORMAL,NORMAL,Polypropylene
83,-19.62208,19.62208,0,0,NORMAL,NORMAL,Polypropylene
84,-30.81547,30.81547,0,0,NORMAL,NORMAL,NH2SO4
85,-39.138676,39.138676,0,0,NORMAL,NORMAL,NaNO3
86,-38.11,38.11,0,0,NORMAL,NORMAL,Polyethylene
87,-14.639956,14.639956,0,0,NORMAL,NORMAL,Polyethylene
88,-53.001225,53.001225,0,1,NORMAL,ANOMALY,NH2SO4
89,-37.08634,37.08634,0,0,NORMAL,NORMAL,Polystyrene
90,-18.92177,18.92177,0,0,NORMAL,NORMAL,Sucrose
91,-12.18973,12.18973,0,0,NORMAL,NORMAL,Polyethylene
92,-26.398735,26.398735,0,0,NORMAL,NORMAL,Polypropylene
93,-42.85053,42.85053,0,1,NORMAL,ANOMALY,Rubber
94,-14.157896,14.157896,0,0,NORMAL,NORMAL,Polyethylene
95,-14.151949,14.151949,0,0,NORMAL,NORMAL,Sucrose
96,-13.713348,13.713348,0,0,NORMAL,NORMAL,Polyethylene
97,-14.82186,14.82186,0,0,NORMAL,NORMAL,Polyethylene
98,-16.548292,16.548292,0,0,NORMAL,NORMAL,Sucrose
99,-17.205917,17.205917,0,0,NORMAL,NORMAL,Polystyrene
100,-23.561375,23.561375,0,0,NORMAL,NORMAL,Polyethylene
101,-28.497967,28.497967,0,0,NORMAL,NORMAL,NH2SO4
102,-49.341732,49.341732,0,1,NORMAL,ANOMALY,Polyethylene Vinyl Acetate
103,-13.869449,13.869449,0,0,NORMAL,NORMAL,Polypropylene
104,-33.641144,33.641144,0,0,NORMAL,NORMAL,Polystyrene
105,-15.300007,15.300007,0,0,NORMAL,NORMAL,Sucrose
106,-27.219896,27.219896,0,0,NORMAL,NORMAL,Polypropylene
107,-28.784054,28.784054,0,0,NORMAL,NORMAL,Polyethylene Terephthalate
108,-28.673862,28.673862,0,0,NORMAL,NORMAL,Polyethylene Terephthalate
109,-29.463362,29.463362,0,0,NORMAL,NORMAL,NH2SO4
110,-41.3936,41.3936,0,1,NORMAL,ANOMALY,NH2SO4
111,-23.361828,23.361828,0,0,NORMAL,NORMAL,NH2SO4
112,-25.450851,25.450851,0,0,NORMAL,NORMAL,Polystyrene
113,-45.500244,45.500244,0,1,NORMAL,ANOMALY,Polypropylene
114,-44.87638,44.87638,0,1,NORMAL,ANOMALY,Polyethylene
115,-30.502953,30.502953,0,0,NORMAL,NORMAL,Sucrose
116,-11.457527,11.457527,0,0,NORMAL,NORMAL,Polyethylene
117,-11.506314,11.506314,0,0,NORMAL,NORMAL,Polyethylene
118,-39.60724,39.60724,0,0,NORMAL,NORMAL,Sucrose
119,-25.518776,25.518776,0,0,NORMAL,NORMAL,NH2SO4
120,-10.863607,10.863607,0,0,NORMAL,NORMAL,Polyethylene
121,-45.330082,45.330082,0,1,NORMAL,ANOMALY,Polystyrene
122,-46.250996,46.250996,0,1,NORMAL,ANOMALY,Polystyrene
123,-22.77708,22.77708,0,0,NORMAL,NORMAL,Polypropylene
124,-18.211433,18.211433,0,0,NORMAL,NORMAL,Polypropylene
125,-33.601135,33.601135,0,0,NORMAL,NORMAL,Sucrose
126,-39.64276,39.64276,0,0,NORMAL,NORMAL,NH2SO4
127,-19.64037,19.64037,0,0,NORMAL,NORMAL,Polypropylene
128,-48.521114,48.521114,0,1,NORMAL,ANOMALY,Polyethylene Vinyl Acetate
129,-37.967842,37.967842,0,0,NORMAL,NORMAL,NH2SO4
130,-11.869198,11.869198,0,0,NORMAL,NORMAL,Polyethylene
131,-12.670541,12.670541,0,0,NORMAL,NORMAL,Polystyrene
132,-23.636913,23.636913,0,0,NORMAL,NORMAL,Polystyrene
133,-48.101112,48.101112,0,1,NORMAL,ANOMALY,Polystyrene
134,-55.016327,55.016327,0,1,NORMAL,ANOMALY,Polystyrene
135,-19.311901,19.311901,0,0,NORMAL,NORMAL,Polypropylene
136,-47.67596,47.67596,0,1,NORMAL,ANOMALY,Polyethylene
137,-52.288857,52.288857,0,1,NORMAL,ANOMALY,Acrylonitrile Butadiene Styrene
138,-14.6754055,14.6754055,0,0,NORMAL,NORMAL,Polyethylene
139,-47.420433,47.420433,0,1,NORMAL,ANOMALY,Polyurethane
140,-36.825996,36.825996,0,0,NORMAL,NORMAL,Polycarbonate
141,-14.629204,14.629204,0,0,NORMAL,NORMAL,Sucrose
142,-50.840263,50.840263,0,1,NORMAL,ANOMALY,Polyvinyl Chloride
143,-28.22815,28.22815,0,0,NORMAL,NORMAL,Cotton
144,-27.780567,27.780567,0,0,NORMAL,NORMAL,NH2SO4
145,-28.567337,28.567337,0,0,NORMAL,NORMAL,Cotton
146,-44.791695,44.791695,0,1,NORMAL,ANOMALY,Polypropylene
147,-45.043358,45.043358,0,1,NORMAL,ANOMALY,Polyurethane
148,-47.17489,47.17489,0,1,NORMAL,ANOMALY,Polystyrene
149,-31.77219,31.77219,0,0,NORMAL,NORMAL,NH2SO4
150,-10.899223,10.899223,0,0,NORMAL,NORMAL,Polyethylene
151,-32.724144,32.724144,0,0,NORMAL,NORMAL,Sucrose
152,-63.244022,63.244022,0,1,NORMAL,ANOMALY,Polypropylene
153,-21.706017,21.706017,0,0,NORMAL,NORMAL,Polypropylene
154,-17.197542,17.197542,0,0,NORMAL,NORMAL,Polyethylene
155,-36.192574,36.192574,0,0,NORMAL,NORMAL,Polypropylene
156,-11.280084,11.280084,0,0,NORMAL,NORMAL,Polyethylene
157,-32.144974,32.144974,0,0,NORMAL,NORMAL,Sucrose
158,-31.175411,31.175411,0,0,NORMAL,NORMAL,Polyethylene Terephthalate
159,-36.380543,36.380543,0,0,NORMAL,NORMAL,NH2SO4
160,-58.49681,58.49681,0,1,NORMAL,ANOMALY,Polystyrene
161,-42.991344,42.991344,0,1,NORMAL,ANOMALY,Polyethylene
162,-78.10248,78.10248,0,1,NORMAL,ANOMALY,Polyvinyl Chloride
163,-45.496277,45.496277,0,1,NORMAL,ANOMALY,Polyurethane
164,-25.090464,25.090464,0,0,NORMAL,NORMAL,Polyethylene
165,-21.496363,21.496363,0,0,NORMAL,NORMAL,NH2SO4
166,-65.00875,65.00875,0,1,NORMAL,ANOMALY,Sucrose
167,-40.45065,40.45065,0,1,NORMAL,ANOMALY,Sucrose
168,-38.299965,38.299965,0,0,NORMAL,NORMAL,Polyamide
169,-10.3152485,10.3152485,0,0,NORMAL,NORMAL,Polyethylene
170,-44.54654,44.54654,0,1,NORMAL,ANOMALY,Polystyrene
171,-47.586273,47.586273,0,1,NORMAL,ANOMALY,Polyethylene
172,-22.481491,22.481491,0,0,NORMAL,NORMAL,Sucrose
173,-48.176216,48.176216,0,1,NORMAL,ANOMALY,NaNO3
174,-15.799267,15.799267,0,0,NORMAL,NORMAL,Polyethylene
175,-39.31167,39.31167,0,0,NORMAL,NORMAL,Acrylonitrile Butadiene Styrene
176,-14.067562,14.067562,0,0,NORMAL,NORMAL,Polypropylene
177,-20.549362,20.549362,0,0,NORMAL,NORMAL,Polyethylene
178,-25.015581,25.015581,0,0,NORMAL,NORMAL,Polyethylene
179,-13.741165,13.741165,0,0,NORMAL,NORMAL,Polypropylene
180,-47.53821,47.53821,0,1,NORMAL,ANOMALY,NH2SO4
181,-50.186905,50.186905,0,1,NORMAL,ANOMALY,Polypropylene
182,-41.728287,41.728287,0,1,NORMAL,ANOMALY,Polystyrene
183,-45.48227,45.48227,0,1,NORMAL,ANOMALY,Polypropylene
184,-41.599953,41.599953,0,1,NORMAL,ANOMALY,Polyvinyl Chloride
185,-53.250378,53.250378,0,1,NORMAL,ANOMALY,Polystyrene
186,-55.859543,55.859543,0,1,NORMAL,ANOMALY,Sucrose
187,-64.96685,64.96685,0,1,NORMAL,ANOMALY,Polypropylene
188,-40.367847,40.367847,0,1,NORMAL,ANOMALY,Sucrose
189,-23.6387,23.6387,0,0,NORMAL,NORMAL,Polypropylene
190,-27.838024,27.838024,0,0,NORMAL,NORMAL,Polyethylene Terephthalate
191,-34.573692,34.573692,0,0,NORMAL,NORMAL,Rubber
192,-55.05544,55.05544,0,1,NORMAL,ANOMALY,Polystyrene
193,-19.01306,19.01306,0,0,NORMAL,NORMAL,Polyethylene
194,-27.347322,27.347322,0,0,NORMAL,NORMAL,Polystyrene
195,-50.29103,50.29103,0,1,NORMAL,ANOMALY,Polystyrene
196,-28.514395,28.514395,0,0,NORMAL,NORMAL,Polypropylene
197,-21.221983,21.221983,0,0,NORMAL,NORMAL,Polypropylene
198,-23.487623,23.487623,0,0,NORMAL,NORMAL,Polyethylene
199,-58.0719,58.0719,0,1,NORMAL,ANOMALY,Polystyrene
200,-11.580954,11.580954,0,0,NORMAL,NORMAL,Polyethylene
201,-27.886536,27.886536,0,0,NORMAL,NORMAL,Polyethylene
202,-28.06446,28.06446,0,0,NORMAL,NORMAL,NH2SO4
203,-34.92022,34.92022,0,0,NORMAL,NORMAL,Sucrose
204,-41.2529,41.2529,0,1,NORMAL,ANOMALY,Polyethylene
205,-36.338585,36.338585,0,0,NORMAL,NORMAL,Polyethylene
206,-36.034893,36.034893,0,0,NORMAL,NORMAL,NaNO3
207,-10.828217,10.828217,0,0,NORMAL,NORMAL,Polyethylene
208,-22.903023,22.903023,0,0,NORMAL,NORMAL,Polypropylene
209,-46.300526,46.300526,0,1,NORMAL,ANOMALY,Polyethylene
210,-46.347507,46.347507,0,1,NORMAL,ANOMALY,Rubber
211,-48.76539,48.76539,0,1,NORMAL,ANOMALY,Polypropylene
212,-41.561302,41.561302,0,1,NORMAL,ANOMALY,Polyethylene
213,-44.70058,44.70058,0,1,NORMAL,ANOMALY,Polystyrene
214,-30.959318,30.959318,0,0,NORMAL,NORMAL,Polypropylene
215,-29.073921,29.073921,0,0,NORMAL,NORMAL,Polypropylene
216,-47.08581,47.08581,0,1,NORMAL,ANOMALY,Polypropylene
217,-49.164093,49.164093,0,1,NORMAL,ANOMALY,Sucrose
218,-36.47237,36.47237,0,0,NORMAL,NORMAL,NH2SO4
219,-60.934555,60.934555,0,1,NORMAL,ANOMALY,NH2SO4
220,-31.354492,31.354492,0,0,NORMAL,NORMAL,Cotton
221,-32.61028,32.61028,0,0,NORMAL,NORMAL,NH2SO4
222,-29.718918,29.718918,0,0,NORMAL,NORMAL,Polypropylene
223,-64.66133,64.66133,0,1,NORMAL,ANOMALY,Sucrose
224,-13.762667,13.762667,0,0,NORMAL,NORMAL,Sucrose
225,-22.27846,22.27846,0,0,NORMAL,NORMAL,NH2SO4
226,-33.680557,33.680557,0,0,NORMAL,NORMAL,Sucrose
227,-58.451912,58.451912,0,1,NORMAL,ANOMALY,Polypropylene
228,-32.160572,32.160572,0,0,NORMAL,NORMAL,Polypropylene
229,-25.38134,25.38134,0,0,NORMAL,NORMAL,Polypropylene
230,-32.462288,32.462288,0,0,NORMAL,NORMAL,Polypropylene
231,-25.562073,25.562073,0,0,NORMAL,NORMAL,Polyethylene
232,-28.2295,28.2295,0,0,NORMAL,NORMAL,Polyethylene Terephthalate
233,-21.68905,21.68905,0,0,NORMAL,NORMAL,Polystyrene
234,-29.4847,29.4847,0,0,NORMAL,NORMAL,Polypropylene
235,-18.571348,18.571348,0,0,NORMAL,NORMAL,Polystyrene
236,-45.38772,45.38772,0,1,NORMAL,ANOMALY,Polypropylene
237,-15.40971,15.40971,0,0,NORMAL,NORMAL,Polyethylene
238,-34.535072,34.535072,0,0,NORMAL,NORMAL,Cotton
239,-38.106476,38.106476,0,0,NORMAL,NORMAL,Polylactic acid
240,-41.377716,41.377716,0,1,NORMAL,ANOMALY,Polystyrene
241,-13.516275,13.516275,0,0,NORMAL,NORMAL,Polyethylene
242,-55.35578,55.35578,0,1,NORMAL,ANOMALY,NaNO3
243,-79.26734,79.26734,1,1,ANOMALY,ANOMALY,AMB
244,-53.688213,53.688213,1,1,ANOMALY,ANOMALY,AMB
245,-47.283333,47.283333,1,1,ANOMALY,ANOMALY,AMB
246,-39.701397,39.701397,1,0,ANOMALY,NORMAL,AMB
247,-51.6949,51.6949,1,1,ANOMALY,ANOMALY,AMB
248,-67.76808,67.76808,1,1,ANOMALY,ANOMALY,AMB
249,-60.025284,60.025284,1,1,ANOMALY,ANOMALY,AMB
250,-42.509853,42.509853,1,1,ANOMALY,ANOMALY,AMB
251,-46.98398,46.98398,1,1,ANOMALY,ANOMALY,AMB
252,-71.43137,71.43137,1,1,ANOMALY,ANOMALY,AMB
253,-39.336926,39.336926,1,0,ANOMALY,NORMAL,AMB
254,-48.511646,48.511646,1,1,ANOMALY,ANOMALY,AMB
255,-45.44174,45.44174,1,1,ANOMALY,ANOMALY,AMB
256,-41.7507,41.7507,1,1,ANOMALY,ANOMALY,AMB
257,-64.78658,64.78658,1,1,ANOMALY,ANOMALY,AMB
258,-37.70146,37.70146,1,0,ANOMALY,NORMAL,AMB
259,-37.195362,37.195362,1,0,ANOMALY,NORMAL,AMB
260,-82.71279,82.71279,1,1,ANOMALY,ANOMALY,AMB
261,-82.48191,82.48191,1,1,ANOMALY,ANOMALY,AMB
262,-44.80288,44.80288,1,1,ANOMALY,ANOMALY,AMB
263,-48.812424,48.812424,1,1,ANOMALY,ANOMALY,AMB
264,-68.871864,68.871864,1,1,ANOMALY,ANOMALY,AMB
265,-128.83112,128.83112,1,1,ANOMALY,ANOMALY,AMB
266,-115.734024,115.734024,1,1,ANOMALY,ANOMALY,AMB
267,-50.761017,50.761017,1,1,ANOMALY,ANOMALY,AMB
268,-46.80736,46.80736,1,1,ANOMALY,ANOMALY,AMB
269,-68.75127,68.75127,1,1,ANOMALY,ANOMALY,AMB
270,-41.588905,41.588905,1,1,ANOMALY,ANOMALY,AMB
271,-42.14478,42.14478,1,1,ANOMALY,ANOMALY,AMB
272,-44.677258,44.677258,1,1,ANOMALY,ANOMALY,AMB
273,-41.08028,41.08028,1,1,ANOMALY,ANOMALY,AMB
274,-67.72476,67.72476,1,1,ANOMALY,ANOMALY,AMB
275,-37.828903,37.828903,1,0,ANOMALY,NORMAL,AMB
276,-84.751205,84.751205,1,1,ANOMALY,ANOMALY,AMB
277,-166.83762,166.83762,1,1,ANOMALY,ANOMALY,AMB
278,-47.920914,47.920914,1,1,ANOMALY,ANOMALY,AMB
279,-67.75174,67.75174,1,1,ANOMALY,ANOMALY,AMB
280,-69.66655,69.66655,1,1,ANOMALY,ANOMALY,AMB
281,-37.53278,37.53278,1,0,ANOMALY,NORMAL,AMB
282,-129.88943,129.88943,1,1,ANOMALY,ANOMALY,AMB
283,-56.227955,56.227955,1,1,ANOMALY,ANOMALY,AMB
284,-45.648155,45.648155,1,1,ANOMALY,ANOMALY,AMB
285,-41.20576,41.20576,1,1,ANOMALY,ANOMALY,AMB
286,-41.366722,41.366722,1,1,ANOMALY,ANOMALY,AMB
287,-140.8351,140.8351,1,1,ANOMALY,ANOMALY,AMB
288,-69.8203,69.8203,1,1,ANOMALY,ANOMALY,AMB
289,-98.51955,98.51955,1,1,ANOMALY,ANOMALY,AMB
290,-44.232807,44.232807,1,1,ANOMALY,ANOMALY,AMB
291,-41.78316,41.78316,1,1,ANOMALY,ANOMALY,AMB
292,-41.944675,41.944675,1,1,ANOMALY,ANOMALY,AMB
293,-40.00095,40.00095,1,1,ANOMALY,ANOMALY,AMB
294,-57.32116,57.32116,1,1,ANOMALY,ANOMALY,AMB
295,-89.343956,89.343956,1,1,ANOMALY,ANOMALY,AMB
296,-68.17972,68.17972,1,1,ANOMALY,ANOMALY,AMB
297,-59.55302,59.55302,1,1,ANOMALY,ANOMALY,AMB
